Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",Rob Shapiro,"=""0451485076""","=""9780451485076""",0,4.01,Random House Audio Publishing Group,Audio CD,384,2017,2017,,2024/05/22,currently-reading,currently-reading (#9),currently-reading,,,,1,0
19395553,Our Mathematical Universe: My Quest for the Ultimate Nature of Reality,Max Tegmark,"Tegmark, Max",,"=""1846144760""","=""9781846144769""",0,4.19,Allen Lane,Hardcover,432,2014,2012,,2024/11/25,to-read,to-read (#87),to-read,,,,0,0
12158480,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,"=""0307719219""","=""9780307719218""",0,4.08,Crown Currency,Hardcover,529,2012,2012,,2024/08/16,currently-reading,currently-reading (#8),currently-reading,,,,1,0
81912,Human Action: A Treatise on Economics,Ludwig von Mises,"Mises, Ludwig von",Bettina Bien Greaves,"=""0809297434""","=""9780809297436""",0,4.34,Contemporary Books,Hardcover,924,1966,1940,,2024/11/24,to-read,to-read (#86),to-read,,,,0,0
141719031,Inferno (Penguin Classics),Dante and Robin Kirkpatrick,"Kirkpatrick, Dante and Robin",,"=""""","=""""",0,3.73,Unknown Southasian Publishing,Paperback,0,,,2024/11/24,2024/10/20,,,read,,,,1,0
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",0,4.21,Bantam Books,Paperback,226,1998,1988,,2024/11/22,to-read,to-read (#85),to-read,,,,0,0
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,4.10,Random House,Hardcover,426,2012,2012,,2023/10/10,currently-reading,currently-reading (#7),currently-reading,,,,1,0
144522,Meditations and Other Metaphysical Writings,René Descartes,"Descartes, René",Desmond M. Clarke,"=""0140447016""","=""9780140447019""",0,3.67,Penguin Classics,Paperback,256,1999,1641,,2024/11/21,currently-reading,currently-reading (#6),currently-reading,,,,1,0
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,"=""0812515285""","=""9780812515282""",0,4.14,Tor Science Fiction,Mass Market Paperback,613,1993,1992,,2024/07/23,currently-reading,currently-reading (#5),currently-reading,,,,1,0
5553,Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,Richard P. Feynman,"Feynman, Richard P.",Paul C.W. Davies,"=""0465023924""","=""9780465023929""",0,4.21,Basic Books,Paperback,138,1995,1994,2024/11/21,2024/02/05,,,read,,,,1,0
